C1, 97.79, 48.26, 180.00, 47u, SMC_C
C3, 64.77, 44.45, 180.00, 100n, C1206
C4, 77.47, 44.45, 180.00, 100n, C1206
C5, 40.64, 48.26, 90.00, 100n, C1206
C6, 91.44, 48.26, 270.00, 100n, C1206
C7, 45.72, 31.75, 270.00, 100n, C1206
D1, 99.06, 26.67, 0.00, S1D, DO214AC
I2EXT1, 64.77, 39.37, 0.00, P82B715PN,112SOIC8, SOP127P600X175-8N
I2EXT2, 77.47, 39.37, 0.00, P82B715PN,112SOIC8, SOP127P600X175-8N
MCP23017_1, 27.30, 52.07, 0.00, MCP23017SO, SO28W
MCP23017_2, 78.11, 52.07, 0.00, MCP23017SO, SO28W
R1, 92.71, 62.23, 90.00, 82, M1206
R10, 62.23, 62.23, 90.00, 82, M1206
R11, 54.61, 62.23, 90.00, 82, M1206
R12, 50.80, 62.23, 90.00, 150, M1206
R13, 99.06, 19.05, 180.00, 4k7, M1206
R14, 99.06, 22.86, 180.00, 4k7, M1206
R15, 46.99, 62.23, 90.00, 82, M1206
R16, 43.18, 62.23, 90.00, 82, M1206
R17, 39.37, 62.23, 90.00, 150, M1206
R18, 35.56, 62.23, 90.00, 82, M1206
R19, 31.75, 62.23, 90.00, 82, M1206
R2, 88.90, 62.23, 90.00, 82, M1206
R20, 27.94, 62.23, 90.00, 150, M1206
R21, 24.13, 62.23, 90.00, 82, M1206
R22, 20.32, 62.23, 90.00, 82, M1206
R23, 16.51, 62.23, 90.00, 150, M1206
R24, 99.06, 30.48, 180.00, 4k7, M1206
R25, 99.06, 38.10, 0.00, 47k, M1206
R26, 99.06, 59.69, 0.00, 47k, M1206
R27, 99.06, 34.29, 0.00, 47k, M1206
R28, 99.06, 55.88, 0.00, 47k, M1206
R29, 99.06, 52.07, 0.00, 47k, M1206
R3, 85.09, 62.23, 90.00, 150, M1206
R30, 77.47, 17.78, 270.00, 330, M1206
R31, 81.28, 17.78, 270.00, 330, M1206
R32, 64.77, 17.78, 270.00, 330, M1206
R33, 68.58, 17.78, 270.00, 330, M1206
R34, 91.44, 54.61, 90.00, 10k, M1206
R35, 40.64, 54.61, 90.00, 10k, M1206
R4, 81.28, 62.23, 90.00, 82, M1206
R5, 77.47, 62.23, 90.00, 82, M1206
R6, 73.66, 62.23, 90.00, 150, M1206
R7, 69.85, 62.23, 90.00, 82, M1206
R8, 66.04, 62.23, 90.00, 82, M1206
R9, 58.42, 62.23, 90.00, 150, M1206
